"nom";"description";"ration";"calcium";"saisons";"oxalates"
"Aneth";"Herbe très appréciée des lapins, peut être remplacée par du fenouil sauvage ou les plumets du fenouil";"1 ou 2 brins";"178-208/100g";"printemps, été, automne, hiver";
"Arroche rouge ou verte";"De la famille de l'épinard, l'arroche est une plante qui était beaucoup utilisée au moyen-âge puis a été remplacée par l'épinard. A ne proposer qu'en petite quantité de temps en temps";"2 feuilles";;;
"Asperge";"Probiotique naturel(fructo-oligiossacharidess) à donner en petite quantité. Peu apprécié";;;"printemps";
"Feuilles d'artichaut";"probiotique naturel(fructo-oligiossacharidess). Uniquement les feuilles extérieures de la partie que nous consommons. Ne donnez ni le fond, ni les ""poils"" qui le recouvrent, ni les feuilles de l'intérieur. Les feuilles du pied d'artichaut peuvent aussi être consommées s'il s'agit d'une espèce non piquante";"3-4 feuilles maxi";"45mg/100g";"fin de l'été, automne";
"Avoine ou herbe à chat";"Riche en vitamine K et fer";;;"toute l'année, peut être cultivée en intérieur";
"Basilic";"Riche en vitamine K et fer. Très apprécié des lapins";;"120-150mg/100g";"été";
"Basilic sauvage/ montagnard";"Mêmes propriétés";;;;
"Basilic cannelle";"Mêmes propriétés";;;"été";
"Basilic pourpre";"Mêmes propriétés";;;"été";
"Blé ou herbe à chat";;;;"toute l'année, peut être cultivée en intérieur";
"Betterave";"La racine est comestible mais peut rendre malades certains lapins plus fragiles. Elle peut provoquer des gaz ou diarrhées. Comme la betterave fourragère, elle est riche en sucre et doit être évitée. Les feuilles peuvent être donné occasionnellement. Riche en oxalates, fer, calcium et vitamine C et glucose";;;"printemps, été, automne";
"Blettes ou bettes";"Les feuilles comme les cardes blanches sont comestibles mais les cardes sont peu appréciées. Les feuilles doivent être bien vertes. riche en oxalates et vitamines A, B6, E, B9, K et C. Comme le chou ce légume doit être donné en petite quantité. Ne doit pas être donné aux lapins qui ont des problèmes digestifs ou urinaires chroniques";;"80-100mg/100g";"été, automne, hiver";
"Blettes, cardes ou poirées de couleurs";"Cette variété est souvent préférée à la variété blanche. riche en oxalates et vitamines A, B6, E, B9, K et C. Comme le chou il doit être donné en petite quantité. Ne doit pas être donné aux lapins qui ont des problèmes digestifs ou urinaires chroniques";;"80mg/100g";"été, automne";
"Brocoli";"Fleurs et feuilles, la variété rouge est comestible elle aussi. riche en vitamine A, B2, C et oxalates. Moyennement riche en calcium. Comme tous les choux il doit être donné en petite quantité";"1 fleur = 20g";"42-48mg/100g";"automne, hiver";"190mg/100g"
"Brocoli branche";"Les feuilles ainsi que le bourgeon central qui ressemble à une fleur de brocoli classique sont comestibles. riche en vitamine A, C, k et oxalates. Moyennement riche en calcium. Comme tous les choux il doit être donné en petite quantité";;;"toute l'année";
"Carotte";"A considérer comme un fruit chez le lapin ayant tendance à grossir car très riche en sucre(jusqu'à 4%). Les carottes nouvelles sont légèrement moins caloriques (en vieillissant la carotte se charge en sucre). Riche en vitamine A, B9, C. Une alimentation trop riche en carottes peut provoquer des problèmes digestifs chez certains lapins";"1 petite carotte =37g";"30mg/100g";"toute l'année";"500mg/100g"
"Carotte rouge";"idem";;;"toute l'année";
"Carotte jaune";"idem mais encore plus sucrée";;;"toute l'année";
"Carotte pourpre";"idem mais encore plus sucrée";;;"toute l'année";
